category	subcategory	subsubcategory	unit	name	year	co2	ch4	n2o	other	total	uncertainty	ef.unit
Transport	Plane	Short haul (< 1000 km)	km	Short haul plane, with contrails	2022	0	0	0	0	0.2586	0.37	kg CO2e/km
Transport	Plane	Medium haul (< 1001 - 3500km)	km	Medium haul plane, with contrails	2022	0	0	0	0	0.1875	0.37	kg CO2e/km
Transport	Plane	Long haul (> 3500 km)	km	Long haul plane, with contrails	2022	0	0	0	0	0.152	0.37	kg CO2e/km
Transport	Railway	TGV > 200 km	km	TGV	2021	0	0	0	0	0.0033	0.2	kg CO2e/km
Transport	Railway	Train < 200 km	km	Not available	2019	0	0	0	0	0.018	0.6	kg CO2e/km
Transport	Railway	International train	km	Not available	2019	0	0	0	0	0.037	0.6	kg CO2e/km
Transport	Railway	Mixed train France and international	km	Not available	2019	0	0	0	0	0.016	0.6	kg CO2e/km
Transport	Railway	rer	km	Paris suburban express railway including RER	2021	0	0	0	0	0.0094	0.2	kg CO2e/km
Transport	Railway	Tramway =< 250,000 residents	km	Subway, tramway, trolleybus, other cities - Agglomeration of 100,000 to 250,000 residents	2018	0	0	0	0	0.005	0.6	kg CO2e/km
Transport	Railway	Tramway > 250,000 residents	km	Subway, tramway, trolleybus, other cities - Agglomeration> 250,000 residents	2018	0	0	0	0	0.0033	0.6	kg CO2e/km
Transport	Railway	Subway	km	Ile de France subway	2021	0	0	0	0	0.004	0.2	kg CO2e/km
Transport	Bus	bus.intercity	km	Bus - Intercity travels	2021	0	0	0	0	0.0306	0.6	kg CO2e/km
Transport	Bus	Bus > 250,000 residents	km	Medium bus - Agglomeration of more than 250,000 residents	2021	0	0	0	0	0.129	0.6	kg CO2e/km
Transport	Bus	Bus 100,000 - 250,000 residents	km	Medium bus - Agglomeration of 100,000 to 250,000 residents	2021	0	0	0	0	0.137	0.6	kg CO2e/km
Transport	Bus	Bus < 100,000 residents	km	Medium bus - Agglomeration less than 100,000 residents	2021	0	0	0	0	0.146	0.6	kg CO2e/km
Transport	Ship	Ferry	km	Day ferry	2019	0	0	0	0	0.979	0.6	kg CO2e/km
Transport	guided.transport	cable.car	km	Cable car	2017	0	0	0	0	0.0295	0.6	kg CO2e/km
